DF1BN,JO31GD,N,,144: IC821 HLV-300  300Watts  MGF 1302  2x17ele F9FT,07/01
DF1CF,JN57FP,Y,,144: CF300  3CX800  4x13el (3lb),12/04
DF1GL,JN47CO,N,,144: IC 746  300W  8el,04/07
DF1HF,JO43WJ,Y,,144: 6el  432: 19el   1296: 44el,09/07
DF1IAZ,JN49LD,N,,50: 3 el -  144: 150W  2x10el  MGF1302,07/01
DF1OC,JO52,N,,,01/93
DF1SO,JN48PO,N,,144: homemade 200W,08/98
DF1VB,JO31SK,Y,,,03/07
DF1ZE,JN49,Y,,,01/94
DF2CQ,JN58SE,N,,,10/04
DF2NU,JN58XA,N,DL0UMK,TS-790S + PA + Preamp + 11 ele yagi,10/07
DF2OOO,JO41RF,N,SpecialCall,IC820H 144: 250W  2x11el- 432: 130W 2x23el Preamp,09/99
DF2UJ,JO61QH,N,,,02/02
DF2ZC,JO30RN,Y,,144: TS2000 LT2S 2xGU74b 750W MGF1302 4x2M18XXX (21 dbd),04/07
DF3FJ,JO40CC,N,,,01/93
DF3RU,JN59UL,Y,,,03/05
DF4IP,JN49HE,N,,,08/08
DF4MAA,JN58WH,Y,,,05/97
DF4UE,JN48RR,N,,432:  4x27el  600W,09/03
DF4WC,JN49KV,N,DB4PN,TR9000-IC490,09/08
DF5BN,JN49GU,N,,,08/99
DF5DE,JO40CX,N,,,12/06
DF5HC,JN49HT,Y,,50: 4 Ele  - 144: 4x8Ele  500W - 432: 4x17Ele  500W,05/09
DF5JJ,JO43XO,N,ex EA6/DF5JJ + ex EA6ADW,432: 700W 19el - 1296: 500W  26el - 10368: 20W  dish,03/04
DF5KB,JO72CM,N,ex DD6BKR,FT847 - 144Mhz 750 wtts  14 el Longyagi -  50Mhz  7el  by DK7ZB,08/06
DF5NK,JN59PM,N,DB6NJ,144: 11el 600W alt. 15el 750W(JN59OP)  432: 19el 500W,06/09
DF5NK/P,JN59OP,N,DB6NJ,144: 11el 600W alt. 15el 750W(JN59OP)  432: 19el 500W,06/09
DF6HT,JO64FG,N,,,12/06
DF6LO,JO52CE,N,,,01/93
DF6MU,JN58WF,N,DL1ABD,Elecraft k2 + XV144 + THP PA 160W,09/07
DF6NA,JN49XS,N,,432: 2x3CX800 4x30el,10/01
DF6OB,JO42,N,NOT qrv MS nw (01/01),,07/97
DF6VW,JO42KH,N,,,07/97
DF6YL,JO31WS,Y,,,02/08
DF7AP,JO51FI,N,,,04/09
DF7DJ,JO31UO,N,,,06/97
DF7IF,JN48DN,N,,,01/03
DF7IT,JN49IN,N,,,10/04
DF7KF,JO30GU,Y,,144:  16x18el  EME Pwr,12/04
DF7OG,JO52BN,N,,144: TS770E  4x150  16el,04/04
DF7RG,JN68HG,Y,,,01/05
DF8AA,JO60XX,N,ex DL2VAA,144: 100W 17el,12/99
DF8AE,JO41GX,N,,,10/04
DF8IK,JO30JT,N,,144: 300W 11el  432: 400W 27el,01/05
DF8LC,JO53GX,Y,,,08/99
DF8PC,JO43RS,Y,,144: 100W 16el M2,03/06
DF9CY,JO54AL,Y,,IC820H + 400w + 1x9ele 2.5wl full elevation + MGF1302,10/08
DF9IJ,JN48CX,N,,,01/03
DF9KT,JO30GU,N,,,11/95
DF9KX,JO30FQ,Y,,FT1000 144:  LT2S 3CX800A7 Preamp  17ele M2  432: LT70S 3CX800A7 Preamp 2x39el M2,10/07
DF9QT,JO30OR,N,,144: 700W  11Ele,07/08
DF9QX,JO42HD,Y,,,01/94
DF9RJ,JN68GS,Y,,144Mhz: 1.8KW 4x17Ele.  -  432Mhz: 1KW 4x21Ele.  -  10Ghz: 5W 60cm Spiegel,03/06
DF9YF,JO42GE,N,,,12/03
DG0CAL,JO31,N,,,06/00
DG0FE,JO62UN,Y,,FT736r  50: 25 watt 1x4el  - 144:  500W 4x17el - 432: 25 watt 2x21el - 1296: 10 watt 2x35el,04/08
DG0KU,JO64AC,N,,,01/03
DG0KW,JO64MH,Y,,144: 2x 13el,01/05
DG0OPK,JO50GQ,Y,,50MHZ Dipol - 144: 400W 17dBd MGF1302,12/08
DG0TU,JO61TU,N,,,08/97
DG0WJ,JO60CV,N,,,11/02
DG1BA,JO43LB,N,,,01/00
DG1BHA,JO73DB,N,,,09/07
DG1CMZ,JO60DS,N,,,08/01
DG1IU,JN49FA,N,,,08/96
DG1LY,JO44RK,N,,,03/04
DG1TA,JN69GH,N,,,02/01
DG1VL,JO61WE,Y,Y91VL,144: 150W 9el MGF1302,05/09
DG1YBO,JO32RG,N,,144: FT225RD 80W 9el,09/04
DG2BCP,JO43DC,Y,,144: 4x 3.6l DJ9BV+GS35 Pa 432: 4x 11l DJ9BV,03/06
DG2DAA,JO62GU,N,,,06/02
DG2GEP,JN48DL,N,,144:  200W 9ele Yagi,04/03
DG2KBC,JN58MI,Y,,2x7ele FT847 GS35b LNA,06/09
DG2NBN,JN59NR,N,,FT847 144: 200W 2x3wl 9BV MGF1302 - 432: 300W  22el MGF1302,08/01
DG2NZM,JN59IV,N,,,06/03
DG2SRL,JO61HN,Y,,144:  Transv. LT2S  18el M2 500W,04/06
DG2TOM,JO62BM,N,,IC706  50: 4el Yagi - 144:  15el M2 100W,08/05
DG2VC,JO61VC,N,,,01/04
DG3FK,JO41PG,N,,TS850+TV TS790  144: 17el 150W - 432: 4x17el 200W - 1296: 55el 100W,09/03
DG3JO,JO31JK,N,,TR-2000- TM-D700- DSPCOM,04/03
DG3MDE,JN58EI,N,,ICOM IC-7400   Inv.V  2x13 5m,09/07
DG3XA,JO43WJ,N,,144: 1500 Watt  7 ele M2,02/09
DG4BH,JO30RX,N,,,01/03
DG4EK,JO31NI,N,,,01/03
DG4EKE,JO31NI,N,,144: IC820h- SP2000- 17/11el- QQE06-40,01/97
DG4NBI,JN59IF,Y,,,10/07
DG5AAG,JO51,N,,,07/01
DG5CST,JO60DS,Y,,144: FT847 4x12el I0JXX GU74,08/07
DG5HV,JO43XQ,N,,,01/99
DG5NEX,JN49WS,N,,,01/93
DG5OAF,JO51EP,N,,144: FT736 400W  2x17el B2  MGF1302,11/99
DG5SMY,JN49QA,Y,,144:  4x 17ele   432: 4x 23ele,08/04
DG6JF,JO31,N,,,10/01
